utt_id,ctc_rho,pll_rho,gpt2_rho,ctc_wer,pll_wer,gpt2_wer,best_interp_wer,oracle_wer,is_recoverable
6123-59150-0011-98,0.0297,-0.4988,-0.3502,0.2500,0.1667,0.2500,0.1667,0.1667,1
6123-59150-0013-100,-0.4846,-0.5785,-0.8618,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0015-102,-0.5058,-0.7135,-0.6612,0.1000,0.1000,0.1000,0.1000,0.0500,1
6123-59150-0017-104,-0.2767,-0.6829,-0.4126,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0019-106,-0.0400,-0.7186,-0.2339,0.1111,0.1111,0.1111,0.1111,0.0000,1
6123-59150-0021-108,-0.3495,-0.5573,-0.1612,0.0417,0.0417,0.0417,0.0417,0.0417,0
6123-59150-0023-110,-0.5423,-0.6142,-0.4669,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0025-112,-0.6237,-0.7104,-0.3145,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0027-114,-0.3838,-0.3110,-0.4172,0.4348,0.4348,0.4348,0.4348,0.4348,0
6123-59150-0029-116,-0.4796,-0.6699,-0.2233,0.1000,0.1000,0.1000,0.1000,0.1000,0
6123-59150-0031-118,-0.3100,-0.5978,-0.6199,0.0345,0.0345,0.0345,0.0345,0.0345,0
6123-59150-0033-120,-0.5171,-0.4395,-0.4723,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0035-122,0.1869,-0.5468,-0.4954,0.1071,0.1071,0.1071,0.1071,0.0714,1
6123-59150-0037-124,0.0470,-0.6575,-0.3977,0.1053,0.1053,0.1053,0.1053,0.0526,1
6123-59150-0039-126,-0.5321,0.0560,-0.1120,0.0769,0.1538,0.0769,0.0769,0.0769,0
6123-59150-0041-128,-0.2983,-0.5206,-0.3851,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59150-0043-130,-0.7346,-0.7500,-0.6422,0.0250,0.0250,0.0250,0.0250,0.0250,0
6123-59150-0045-132,-0.4124,-0.5843,-0.5794,0.0909,0.0909,0.0909,0.0909,0.0455,1
6123-59186-0000-134,-0.5534,-0.4952,-0.3495,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0002-136,-0.0874,-0.4408,-0.3282,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0004-138,-0.5534,0.0136,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0006-140,-0.4078,-0.1748,0.0835,0.0769,0.0769,0.0769,0.0769,0.0769,0
6123-59186-0008-142,0.0899,-0.5478,-0.2207,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0010-144,-0.7006,-0.6228,-0.6228,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0012-146,-0.5347,-0.6852,-0.7144,0.0256,0.0256,0.0256,0.0256,0.0256,0
6123-59186-0014-148,-0.3795,-0.7006,-0.5208,0.0263,0.0263,0.0263,0.0263,0.0263,0
6123-59186-0016-150,-0.6419,-0.6147,-0.4863,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0018-152,-0.4517,-0.7336,-0.4907,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0020-154,-0.5961,-0.7026,-0.2655,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0022-156,-0.4590,-0.1183,0.4990,0.0357,0.0357,0.0357,0.0357,0.0357,0
6123-59186-0024-158,-0.1579,-0.5941,0.1742,0.0526,0.0526,0.0526,0.0526,0.0526,0
6123-59186-0026-160,-0.5885,-0.3182,-0.1471,0.1667,0.1667,0.1667,0.1667,0.1333,1
6123-59186-0028-162,-0.2475,-0.4027,-0.3135,0.1818,0.1818,0.1818,0.1818,0.0909,1
6123-59186-0030-164,-0.0246,-0.5646,0.0033,0.1818,0.1818,0.1818,0.1818,0.1818,0
6123-59186-0032-166,-0.3889,-0.1016,-0.1642,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0034-168,-0.4258,-0.4384,-0.9205,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0036-170,-0.3068,-0.4218,-0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0
6123-59186-0038-172,-0.1519,-0.4573,-0.5717,0.0625,0.0625,0.0625,0.0625,0.0625,0
6123-59186-0040-174,-0.4169,-0.6291,-0.6624,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0001-176,-0.6371,-0.8754,-0.8021,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0003-178,-0.2009,-0.2722,-0.1588,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0005-180,-0.8075,-0.7000,-0.4943,0.0741,0.0741,0.0741,0.0741,0.0741,0
1701-141760-0007-182,-0.6742,-0.5394,-0.5394,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0009-184,-0.5314,-0.2435,-0.1550,0.0909,0.0909,0.0909,0.0909,0.0909,0
1701-141760-0011-186,-0.1436,-0.6040,-0.7426,0.0625,0.0625,0.0625,0.0625,0.0000,1
1701-141760-0013-188,-0.4382,-0.1083,-0.1149,0.2500,0.2500,0.2500,0.2500,0.1250,1
1701-141760-0015-190,-0.5457,-0.4078,-0.4505,0.1667,0.1667,0.1667,0.1667,0.0000,1
1701-141760-0017-192,0.0207,-0.2896,-0.3775,0.2727,0.2727,0.2727,0.2727,0.2727,0
1701-141760-0019-194,-0.1816,-0.5155,-0.1877,0.0714,0.0714,0.0714,0.0714,0.0714,0
1701-141760-0021-196,-0.3634,-0.5477,-0.4447,0.2000,0.2000,0.2000,0.2000,0.1000,1
1701-141760-0023-198,-0.0542,-0.7376,-0.5532,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0025-200,-0.0528,-0.6370,-0.7987,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0027-202,-0.4537,-0.3954,-0.2744,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0029-204,-0.3835,-0.3451,-0.3451,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0031-206,0.0626,0.3444,0.3444,0.2857,0.2857,0.2857,0.2857,0.2857,0
1701-141760-0033-208,-0.3710,-0.6381,-0.6269,0.0833,0.0833,0.0833,0.0833,0.0833,0
1701-141760-0035-210,-0.5429,-0.7308,-0.7050,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0037-212,-0.6508,-0.5857,-0.3742,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0039-214,-0.2680,-0.8363,-0.7278,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0041-216,-0.6279,-0.8141,-0.8879,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0043-218,-0.4885,-0.4192,0.0033,0.0588,0.0588,0.0588,0.0588,0.0000,1
1701-141760-0045-220,-0.0495,-0.6436,-0.6783,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0047-222,-0.2039,-0.5282,-0.4952,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0049-224,-0.4625,-0.4420,-0.4181,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141760-0051-226,-0.5331,-0.6884,-0.3205,0.0833,0.0833,0.0833,0.0833,0.0000,1
1701-141760-0053-228,-0.5456,-0.4857,-0.4566,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0001-230,-0.1584,-0.7756,-0.5677,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0003-232,-0.4562,-0.6371,-0.6634,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0005-234,-0.0928,-0.3541,-0.7191,0.2000,0.2000,0.2000,0.2000,0.0000,1
1701-141759-0007-236,-0.3915,-0.2658,0.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0009-238,-0.2943,-0.1375,-0.1759,0.2857,0.4286,0.2857,0.2857,0.0000,1
1701-141759-0011-240,-0.5834,-0.5855,-0.5229,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0013-242,-0.5272,-0.5858,-0.6862,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0015-244,-0.5179,-0.5279,-0.5279,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0017-246,-0.4804,-0.3930,-0.3057,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0019-248,-0.2621,-0.3825,-0.2990,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0021-250,0.0000,0.1005,0.2814,0.3333,0.3333,0.3333,0.3333,0.3333,0
1701-141759-0023-252,-0.4894,-0.5204,-0.4701,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0025-254,-0.1131,-0.6035,-0.7150,0.1143,0.1143,0.1143,0.1143,0.0571,1
1701-141759-0027-256,-0.5501,-0.6755,-0.3906,0.0303,0.0303,0.0303,0.0303,0.0000,1
1701-141759-0029-258,-0.6776,-0.7547,-0.7146,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0031-260,-0.4067,-0.2766,-0.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0
1701-141759-0033-262,-0.5578,-0.6037,-0.4137,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0001-264,-0.5751,-0.4111,-0.3353,0.0000,0.1250,0.0000,0.0000,0.0000,0
1255-74899-0003-266,0.0000,-0.3333,-0.3961,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0005-268,-0.4717,-0.5241,-0.4717,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0007-270,-0.4412,-0.6205,-0.5050,0.0556,0.0556,0.0556,0.0556,0.0556,0
1255-74899-0009-272,-0.2736,-0.3303,-0.1004,0.1250,0.1250,0.1250,0.1250,0.0000,1
1255-74899-0011-274,-0.3756,-0.5651,-0.2105,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0013-276,-0.2611,-0.7696,-0.4795,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0015-278,-0.3840,-0.6213,-0.3797,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0017-280,-0.2917,-0.5834,-0.2982,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0019-282,-0.6178,-0.6465,-0.4741,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-74899-0021-284,-0.5550,-0.3402,-0.3811,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0000-286,-0.1519,-0.4097,-0.6122,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0002-288,-0.7859,-0.8209,-0.8590,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0004-290,-0.5455,-0.4364,-0.4364,0.0000,0.2500,0.0000,0.0000,0.0000,0
1255-90413-0006-292,-0.3843,-0.3556,-0.5962,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0008-294,-0.3076,-0.4679,-0.5991,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0010-296,-0.5053,-0.7725,-0.7099,0.0286,0.0286,0.0286,0.0286,0.0000,1
1255-90413-0012-298,-0.4369,-0.2699,-0.3903,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0014-300,-0.4912,-0.3361,-0.3947,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0016-302,-0.5264,-0.5609,-0.5005,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0018-304,-0.0486,-0.2378,-0.2966,0.5000,1.0000,0.5000,0.5000,0.0000,1
1255-90413-0020-306,-0.1150,-0.3835,0.2301,0.2857,0.2857,0.2857,0.2857,0.1429,1
1255-90413-0022-308,-0.0181,-0.5875,0.1085,0.1143,0.1143,0.1143,0.1143,0.1143,0
1255-90413-0024-310,-0.6482,-0.4905,-0.2982,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0026-312,-0.5423,-0.5532,-0.6020,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90413-0028-314,-0.3607,-0.4404,-0.7121,0.0556,0.0556,0.0556,0.0556,0.0000,1
1255-90407-0001-316,-0.1452,-0.5908,-0.5974,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0003-318,-0.3525,-0.4122,-0.2820,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0005-320,-0.5477,-0.2739,-0.2739,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0007-322,-0.6158,-0.5229,-0.5207,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0009-324,-0.6158,-0.6180,-0.5229,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0011-326,-0.5152,-0.3579,-0.2983,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0013-328,-0.8452,-0.5071,-0.3381,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0015-330,0.1259,-0.8228,-0.7860,0.1111,0.1111,0.1111,0.1111,0.0741,1
1255-90407-0017-332,-0.1716,-0.6476,-0.4258,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0019-334,-0.5017,-0.6898,-0.6436,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0021-336,-0.3781,-0.7447,-0.5057,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0023-338,-0.3811,-0.6055,-0.1973,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0025-340,-0.4339,-0.7104,-0.7376,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-90407-0027-342,-0.2596,0.0137,-0.2323,0.1429,0.1429,0.1429,0.1429,0.1429,0
1255-90407-0029-344,-0.2373,-0.6414,-0.5516,0.1333,0.0667,0.1333,0.0667,0.0667,1
1255-138279-0000-346,-0.1364,-0.7255,-0.4712,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0002-348,-0.2166,-0.3003,-0.0624,0.0741,0.0741,0.0741,0.0741,0.0741,0
1255-138279-0004-350,-0.3994,-0.5054,-0.3322,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0006-352,-0.1748,-0.6777,-0.6020,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0008-354,-0.8660,-0.8660,-0.8660,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0010-356,-0.2330,-0.5573,-0.2699,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0012-358,0.0594,-0.4027,-0.5083,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0014-360,-0.4466,-0.6496,-0.5819,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0016-362,-0.2389,-0.6826,-0.6928,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0018-364,-0.5966,-0.2007,-0.0651,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0020-366,-0.4364,-0.6547,-0.4364,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0022-368,-0.5322,0.1183,0.1774,0.0000,0.0000,0.0000,0.0000,0.0000,0
1255-138279-0024-370,-0.6419,-0.5719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0001-372,-0.5626,-0.2344,-0.2344,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0003-374,-0.3089,-0.6607,-0.5913,0.0526,0.0526,0.0526,0.0526,0.0526,0
5543-27761-0005-376,-0.7638,-0.7638,-0.6547,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0007-378,-0.1634,-0.5941,-0.2673,0.1500,0.1500,0.1500,0.1500,0.1000,1
5543-27761-0009-380,-0.3028,-0.2140,-0.1522,0.0909,0.0909,0.0909,0.0909,0.0909,0
5543-27761-0011-382,-0.2886,-0.2378,-0.3631,0.0526,0.0526,0.0526,0.0526,0.0526,0
5543-27761-0013-384,-0.0445,-0.8075,-0.8584,0.1111,0.1111,0.1111,0.1111,0.1111,0
5543-27761-0015-386,-0.0731,-0.5996,-0.6289,0.0455,0.0455,0.0455,0.0455,0.0455,0
5543-27761-0017-388,-0.1680,-0.5881,-0.2521,0.0294,0.0294,0.0294,0.0294,0.0294,0
5543-27761-0019-390,-0.6085,-0.4057,-0.5227,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0021-392,-0.2983,0.0271,-0.2983,0.8000,0.8000,0.8000,0.8000,0.8000,0
5543-27761-0023-394,0.1741,0.3029,-0.4854,0.4286,0.4286,0.4286,0.4286,0.2857,1
5543-27761-0025-396,-0.4761,-0.7281,-0.5601,0.0909,0.0909,0.0909,0.0909,0.0909,0
5543-27761-0027-398,-0.1216,-0.2605,-0.2258,0.0909,0.0909,0.0909,0.0909,0.0909,0
5543-27761-0029-400,-0.0521,-0.4342,-0.4342,0.1765,0.1765,0.1765,0.1765,0.1765,0
5543-27761-0031-402,-0.3620,-0.5843,-0.5688,0.1000,0.1000,0.1000,0.1000,0.1000,0
5543-27761-0033-404,-0.4033,-0.4602,0.0414,0.2857,0.2857,0.2857,0.2857,0.2857,0
5543-27761-0035-406,-0.2923,-0.7284,-0.2370,0.0714,0.0714,0.0714,0.0714,0.0000,1
5543-27761-0037-408,-0.5688,-0.6722,-0.6791,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0039-410,-0.7658,-0.7998,-0.5926,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0041-412,-0.5334,-0.6703,-0.7269,0.0588,0.0588,0.0588,0.0588,0.0588,0
5543-27761-0043-414,-0.4862,0.1599,0.2204,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0045-416,-0.5732,-0.6079,-0.5732,0.4000,0.4000,0.4000,0.4000,0.4000,0
5543-27761-0047-418,-0.2460,-0.4920,-0.3280,0.1333,0.1333,0.1333,0.1333,0.1333,0
5543-27761-0049-420,-0.0826,-0.7218,-0.6161,0.2500,0.2500,0.2500,0.2500,0.2500,0
5543-27761-0051-422,-0.0410,-0.5739,-0.4920,0.0556,0.0556,0.0556,0.0556,0.0556,0
5543-27761-0053-424,-0.2259,-0.6946,-0.6778,0.1333,0.1333,0.1333,0.1333,0.0667,1
5543-27761-0055-426,-0.7515,-0.6575,-0.2818,0.1538,0.1538,0.1538,0.1538,0.1538,0
5543-27761-0057-428,-0.6149,-0.6969,-0.4783,0.1429,0.1429,0.1429,0.1429,0.1429,0
5543-27761-0059-430,0.3775,-0.7587,-0.7137,0.0714,0.0714,0.0714,0.0714,0.0714,0
5543-27761-0061-432,-0.6999,-0.8173,-0.7684,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0063-434,-0.4213,-0.6180,-0.6482,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0065-436,-0.6597,-0.6788,-0.8409,0.0909,0.0909,0.0909,0.0909,0.0909,0
5543-27761-0067-438,-0.3362,-0.7251,-0.7387,0.1176,0.1176,0.1176,0.1176,0.1176,0
5543-27761-0069-440,,,,0.2500,0.2500,0.2500,0.2500,0.2500,0
5543-27761-0071-442,-0.0594,-0.4703,-0.4505,0.0455,0.0455,0.0455,0.0455,0.0455,0
5543-27761-0073-444,-0.5384,-0.1216,-0.3647,0.2000,0.2000,0.2000,0.2000,0.2000,0
5543-27761-0075-446,-0.5243,-0.5573,-0.6233,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0077-448,-0.7638,-0.6547,-0.6547,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0079-450,-0.4236,-0.1644,-0.2669,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0081-452,-0.2442,-0.7076,-0.2442,0.1429,0.1429,0.1429,0.1429,0.0952,1
5543-27761-0083-454,-0.7464,-0.4743,-0.3938,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0085-456,-0.3081,-0.3921,0.0280,0.6000,0.6000,0.6000,0.6000,0.4000,1
5543-27761-0087-458,-0.4383,-0.8367,-0.4482,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0089-460,-0.4110,-0.2511,0.0112,0.1667,0.0833,0.1667,0.0833,0.0833,1
5543-27761-0091-462,-0.1960,-0.0280,-0.2240,0.1176,0.1176,0.1176,0.1176,0.1176,0
5543-27761-0093-464,-0.3308,0.0426,-0.2070,0.1667,0.1667,0.1667,0.1667,0.0000,1
5543-27761-0095-466,-0.3068,-0.3835,-0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0
5543-27761-0097-468,0.1844,-0.5017,-0.4204,0.0882,0.0882,0.0882,0.0882,0.0588,1
5543-27761-0099-470,-0.7195,-0.5479,-0.6040,0.0400,0.0400,0.0400,0.0400,0.0400,0
5543-27761-0101-472,-0.5857,-0.6345,-0.2929,0.0769,0.0769,0.0769,0.0769,0.0769,0
5543-27761-0103-474,-0.3641,-0.0280,0.3641,0.1111,0.1111,0.1111,0.1111,0.1111,0
5543-27761-0105-476,-0.2633,-0.3400,-0.5701,0.2000,0.2000,0.2000,0.2000,0.2000,0
1650-173551-0000-478,-0.2838,-0.4448,-0.2531,0.2414,0.2414,0.2414,0.2414,0.2069,1
1650-173551-0002-480,-0.3895,-0.8153,-0.7515,0.1111,0.1111,0.1111,0.1111,0.1111,0
1650-173551-0004-482,-0.6072,-0.4022,-0.5134,0.0667,0.0667,0.0667,0.0667,0.0000,1
1650-173551-0006-484,0.0543,-0.6453,0.0136,0.2609,0.2609,0.2609,0.2609,0.2174,1
1650-173551-0008-486,-0.3285,-0.5470,-0.3590,0.0882,0.0882,0.0882,0.0882,0.0882,0
1650-167613-0000-488,-0.5271,-0.7582,-0.6015,0.0385,0.0385,0.0385,0.0385,0.0385,0
1650-167613-0002-490,-0.4843,-0.6164,-0.6210,0.2500,0.2500,0.2500,0.2500,0.2500,0
1650-167613-0004-492,-0.0390,-0.3948,-0.4307,0.2632,0.2632,0.2632,0.2632,0.2105,1
1650-167613-0006-494,-0.4763,-0.4931,-0.6417,0.3333,0.3333,0.3333,0.3333,0.3333,0
